;UTC;Temperature[C];Humidity[%];TVOC[ppb];eCO2[ppm];Raw H2;Raw Ethanol;Pressure[hPa];PM1.0;PM2.5;NC0.5;NC1.0;NC2.5;CNT;Fire Alarm
145;1654733476;21.959;49.16;28;442;12547;19629;939.812;0.0;0.0;0.0;0.001;0.001;145;0
43;1654733374;20.617;55.28;0;400;12505;19565;939.757;0.04;0.14;0.03;0.162;0.097;43;0
0;1654733331;20.0;57.36;0;400;12306;18520;939.735;0.0;0.0;0.0;0.0;0.0;0;0
161;1654733492;22.154;55.25;20;421;12567;19654;939.791;0.0;0.0;0.0;0.0;0.0;161;0
193;1654733524;22.531;49.78;12;409;12596;19677;939.807;0.81;45810;17930;2.326;1.204;193;0
16;1654733347;20.233;50.86;0;400;12480;19382;939.758;0.6;19025;0.0;2.908;1.851;16;0
80;1654733411;21.124;49.47;18;405;12534;19631;939.772;0.03;0.1;0.01;0.116;0.071;80;0
102;1654733433;21.414;55.32;8;410;12533;19626;939.782;0.09;0.27;0.16;0.31;0.177;102;0
38;1654733369;20.547;54.13;0;400;12498;19569;939.757;0.07;0.24;0.06;0.273;0.163;38;0
156;1654733487;22.093;54.05;26;431;12556;19638;939.811;0.01;0.02;0.02;0.022;0.011;156;0
176;1654733507;22.333;56.77;0;400;12597;19694;939.815;0.0;0.0;0.0;0.0;0.0;176;0
135;1654733466;21.835;50.04;10;426;12559;19649;939.796;0.0;0.0;0.0;0.005;0.003;135;0
78;1654733409;21.097;49.67;16;408;12536;19619;939.778;0.04;0.13;0.01;0.148;0.09;78;0
115;1654733446;21.582;56.91;0;400;12565;19664;939.8;0.02;0.06;0.04;0.071;0.041;115;0
19;1654733350;20.277;50.27;0;406;12489;19451;939.752;0.41;26299;0.0;1.987;1.265;19;0
14;1654733345;20.204;51.17;0;403;12468;19338;939.742;0.71;35096;0.0;3.419;2.176;14;0
177;1654733508;22.344;55.02;0;401;12597;19689;939.817;0.0;0.0;0.0;0.0;0.0;177;0
146;1654733477;21.971;49.32;39;455;12541;19629;939.817;0.0;0.0;0.0;0.001;0.001;146;0
179;1654733510;22.368;53.84;1;410;12587;19681;939.803;0.0;0.0;0.0;0.0;0.0;179;0
65;1654733396;20.921;51.94;27;415;12527;19623;939.758;0.15;0.54;0.05;0.624;0.381;65;0
84;1654733415;21.177;49.21;15;420;12536;19622;939.787;0.02;0.06;0.01;0.07;0.043;84;0
165;1654733496;22.202;55.88;18;417;12567;19656;939.812;0.0;0.0;0.0;0.0;0.0;165;0
46;1654733377;20.659;55.99;9;406;12505;19582;939.754;0.02;0.08;0.02;0.092;0.055;46;0
104;1654733435;21.44;55.64;2;400;12536;19635;939.787;0.07;0.22;0.13;0.251;0.143;104;0
79;1654733410;45982;49.55;15;404;12537;19631;939.764;0.03;0.12;0.01;0.136;0.083;79;0
54;1654733385;20.77;56.66;4;400;12514;19595;939.718;0.01;0.03;0.01;0.033;0.02;54;0
190;1654733521;22.497;50.09;2;405;12596;19681;939.803;0.0;0.0;0.0;0.0;0.0;190;0
85;1654733416;21.19;49.07;41;448;12515;19596;939.779;0.02;0.06;0.0;0.064;0.039;85;0
118;1654733449;21.62;55.44;0;402;12566;19669;939.795;0.01;0.04;0.02;0.047;0.027;118;0
109;1654733440;21.505;56.24;8;402;12537;19631;939.795;0.04;0.13;0.07;0.148;0.085;109;0
133;1654733464;21.81;50.3;0;400;12565;19658;939.773;0.0;0.01;0.0;0.007;0.004;133;0
142;1654733473;21.922;49.42;0;414;12571;19657;939.805;0.0;0.0;0.0;0.002;0.001;142;0
33;1654733364;20.477;52.28;0;420;12486;19532;939.769;0.11;0.38;0.09;0.434;0.259;33;0
18;1654733349;20.262;50.49;0;400;12481;19422;939.761;0.5;45659;0.0;2.423;1.542;18;0
140;1654733471;21.897;49.58;11;411;12563;19651;939.815;0.0;0.0;0.0;0.003;0.001;140;0
123;1654733454;21.684;52.75;0;400;12563;19658;939.798;0.01;0.02;0.01;0.025;0.015;123;0
175;1654733506;22.321;56.99;0;400;12592;19679;939.817;0.0;0.0;0.0;0.0;0.0;175;0
63;1654733394;20.894;52.66;0;418;12536;19647;939.752;0.18;0.65;0.05;0.742;0.452;63;0
83;1654733414;21.164;49.31;12;420;12533;19630;939.784;0.02;0.07;0.01;0.083;0.051;83;0
148;1654733479;21.996;50.49;31;445;12545;19632;939.81;0.0;0.0;0.0;0.001;0.0;148;0
100;1654733431;21.388;54.95;19;414;12527;19613;939.796;0.11;0.33;0.19;0.382;0.218;100;0
155;1654733486;22.081;53.75;16;426;12554;19644;939.817;0.02;0.06;0.06;0.067;0.035;155;0
72;1654733403;21.016;50.38;18;417;12529;19623;939.763;0.07;0.26;0.02;0.295;0.18;72;0
27;1654733358;20.391;49.37;30;445;12478;19500;939.771;0.17;0.58;0.14;0.665;0.398;27;0
184;1654733515;22.427;51.19;1;405;12592;19678;939.815;0.0;0.0;0.0;0.0;0.0;184;0
112;1654733443;21.543;56.5;16;408;12536;19628;939.804;0.03;0.09;0.05;0.099;0.057;112;0
51;1654733382;20.729;56.47;14;411;12508;19587;939.701;0.01;0.04;0.01;0.047;0.028;51;0
174;1654733505;22.309;56.76;2;400;12577;19663;939.82;0.0;0.0;0.0;0.0;0.0;174;0
4;1654733335;20.059;54.69;0;400;12403;18921;939.744;0.0;0.0;0.0;0.0;0.0;4;0
29;1654733360;20.42;50.11;20;443;12471;19493;939.775;0.15;0.52;0.12;0.595;0.356;29;0
183;1654733514;22.415;51.38;2;409;12594;19693;939.814;0.0;0.0;0.0;0.0;0.0;183;0
99;1654733430;21.375;54.74;14;405;12533;19624;939.784;0.12;0.36;0.21;0.414;0.236;99;0
98;1654733429;21.362;54.52;19;418;12529;19626;939.799;0.14;0.44;0.25;0.501;0.286;98;0
131;1654733462;21.785;50.64;2;401;12564;19650;939.784;0.0;0.01;0.0;0.009;0.005;131;0
124;1654733455;21.696;52.37;6;408;12562;19648;939.798;0.01;0.02;0.01;0.021;0.012;124;0
199;1654733530;45830;49.23;34;440;12576;19646;939.813;0.59;12055;44958;17899;0.713;199;0
134;1654733465;21.822;50.16;21;425;12561;19649;939.782;0.0;0.01;0.0;0.006;0.003;134;0
178;1654733509;22.356;54.41;0;408;12597;19685;939.809;0.0;0.0;0.0;0.0;0.0;178;0
120;1654733451;21.646;54.24;10;419;12562;19658;939.802;0.01;0.03;0.02;0.036;0.021;120;0
34;1654733365;20.491;52.74;0;414;12489;19535;939.747;0.1;0.36;0.08;0.408;0.244;34;0
48;1654733379;20.687;56.18;0;400;12514;19594;939.741;0.02;0.06;0.01;0.072;0.043;48;0
169;1654733500;22.25;56.32;2;403;12577;19663;939.826;0.0;0.0;0.0;0.0;0.0;169;0
138;1654733469;21.872;49.76;8;420;12565;19660;939.806;0.0;0.0;0.0;0.003;0.002;138;0
149;1654733480;22.008;51.08;28;453;12548;19631;939.818;0.0;0.0;0.0;0.001;0.0;149;0
132;1654733463;21.797;50.46;1;407;12563;19659;939.782;0.0;0.01;0.0;0.008;0.005;132;0
127;1654733458;21.734;51.45;7;413;12558;19659;939.803;0.0;0.01;0.01;0.015;0.009;127;0
21;1654733352;20.305;50.02;0;400;12487;19470;939.741;0.33;14246;0.0;22282;1.024;21;0
81;1654733412;21.137;49.44;6;400;12540;19638;939.777;0.03;0.09;0.01;0.106;0.065;81;0
77;1654733408;21.084;49.74;2;405;12536;19631;939.781;0.04;0.15;0.01;0.173;0.106;77;0
9;1654733340;20.132;52.46;0;400;12453;19195;939.756;0.9;28550;0.0;4.369;28522;9;0
82;1654733413;21.15;49.39;7;407;12540;19638;939.776;0.02;0.08;0.01;0.09;0.055;82;0
164;1654733495;22.19;55.73;11;400;12568;19652;939.805;0.0;0.0;0.0;0.0;0.0;164;0
119;1654733450;21.633;54.78;0;408;12565;19672;939.799;0.01;0.04;0.02;0.043;0.024;119;0
89;1654733420;21.243;51.03;42;439;12519;19608;939.781;0.01;0.03;0.0;0.038;0.023;89;0
68;1654733399;20.962;51.16;13;407;12533;19627;939.767;0.11;0.39;0.03;0.448;0.273;68;0
53;1654733384;20.756;56.6;11;404;12513;19591;939.707;0.01;0.03;0.01;0.036;0.022;53;0
90;1654733421;21.257;51.56;34;437;12512;19606;939.775;0.01;0.03;0.0;0.035;0.021;90;0
94;1654733425;21.309;53.32;27;424;12522;19618;939.792;0.0;0.02;0.0;0.021;0.013;94;0
41;1654733372;20.589;54.91;0;400;12503;19578;939.765;0.05;0.18;0.04;0.204;0.122;41;0
93;1654733424;21.296;52.92;35;438;12526;19615;939.791;0.01;0.02;0.0;0.023;0.014;93;0
116;1654733447;21.595;56.65;0;400;12565;19673;939.807;0.02;0.05;0.03;0.06;0.034;116;0
200;1654733531;22.612;49.5;27;440;12577;19649;939.815;0.53;45689;45659;1.341;0.642;200;0
157;1654733488;22.105;54.36;32;437;12552;19637;939.809;0.0;0.01;0.01;0.012;0.006;157;0
25;1654733356;20.363;49.65;0;401;12499;19516;939.774;0.21;0.89;0.0;1.026;0.653;25;0
180;1654733511;22.38;53.38;0;402;12598;19689;939.81;0.0;0.0;0.0;0.0;0.0;180;0
147;1654733478;21.983;49.87;29;440;12544;19631;939.813;0.0;0.0;0.0;0.001;0.001;147;0
74;1654733405;21.043;50.1;12;410;12533;19633;939.776;0.06;0.21;0.02;0.236;0.144;74;0
58;1654733389;20.825;55.38;0;400;12539;19629;939.714;0.33;45292;0.04;1.428;0.877;58;0
152;1654733483;22.044;52.62;23;433;12558;19649;939.815;0.15;0.41;0.44;0.46;0.243;152;0
17;1654733348;20.248;50.66;0;400;12477;19400;939.764;0.53;44958;0.0;21217;1.642;17;0
49;1654733380;20.701;56.32;0;408;12510;19587;939.722;0.02;0.05;0.01;0.061;0.036;49;0
92;1654733423;21.283;52.54;18;422;12525;19619;939.788;0.01;0.02;0.0;0.027;0.016;92;0
75;1654733406;21.057;49.93;20;417;12526;19622;939.779;0.05;0.19;0.02;0.219;0.133;75;0
141;1654733472;21.909;49.5;11;421;12563;19647;939.805;0.0;0.0;0.0;0.002;0.001;141;0
20;1654733351;20.291;50.15;0;400;12491;19456;939.729;0.38;45809;0.0;1.855;43101;20;0
96;1654733427;21.336;53.96;33;421;12524;19614;939.801;0.2;0.63;0.36;0.718;0.409;96;0
31;1654733362;20.448;51.23;8;440;12482;19520;939.772;0.13;0.45;0.11;0.514;0.308;31;0
137;1654733468;21.86;49.85;6;417;12562;19653;939.792;0.0;0.0;0.0;0.004;0.002;137;0
117;1654733448;21.607;56.13;0;400;12565;19663;939.806;0.02;0.05;0.03;0.055;0.032;117;0
11;1654733342;20.161;51.84;0;400;12467;19264;939.754;0.84;18688;0.0;4.053;21217;11;0
67;1654733398;20.948;51.38;23;421;12532;19631;939.779;0.12;0.44;0.04;0.509;0.31;67;0
88;1654733419;21.23;50.45;33;448;12517;19610;939.782;0.01;0.04;0.0;0.046;0.028;88;0
91;1654733422;21.27;52.04;26;441;12527;19617;939.78;0.01;0.03;0.0;0.029;0.018;91;0
24;1654733355;20.348;49.76;0;400;12498;19503;939.77;0.25;45748;0.0;1.197;0.762;24;0
97;1654733428;21.349;54.25;21;417;12530;19610;939.795;0.16;0.49;0.28;0.561;0.32;97;0
182;1654733513;22.403;51.66;0;400;12594;19682;939.81;0.0;0.0;0.0;0.0;0.0;182;0
191;1654733522;22.508;49.96;15;403;12593;19681;939.806;0.0;0.0;0.0;0.0;0.0;191;0
